Game 1,Home,Score,Away,Score
,Dvimne Spirits,148,Transhimalia Disasters,130
,Holy Yektonisa Bishops,148,Pyxanovia Pixies,129
,Holykol Bears,124,Lyintaria Lynx,132
Game 66,Home,Score,Away,Score
,Avura Aviators,127,Aahrus Moosi,128
,Aiyota Pumps,148,Boltway Bad Dragons,149
,Shmupland Dictators,137,Dotruga Falno,111
,Serkr Atolls,129,Ethanthova Ponies,125
,Red Rainbow Sickles,121,Faehrenfall Feathercats,127
,Naxda Nomads,135,Stedro Boulders,134
,Kaeshar Kaisers,104,TND Tanks,133
,Blanaxon Hammers,147,Bongatar Banging Bongos,143
,Barsein Bats,142,Czalliso Pythons,136
,Autolik Autonomy,136,Dvimne Spirits,131
,Solea Geysers,130,Holy Yektonisa Bishops,120
,Sagua Ocelots,119,Holykol Bears,125
,Manwx Saguans,121,Lyintaria Lynx,146
,Key to Don Yees,155,Pyxanovia Pixies,156
,Height Sagua Cats,118,Transhimalia Disasters,125
,Calto Cows,148,Auspikitan Golden Falcons,138
Game 67,Home,Score,Away,Score
,Aahrus Moosi,144,Czalliso Pythons,135
,Dvimne Spirits,142,Bongatar Banging Bongos,120
,Holy Yektonisa Bishops,130,TND Tanks,131
,Holykol Bears,128,Stedro Boulders,140
,Lyintaria Lynx,128,Faehrenfall Feathercats,138
,Pyxanovia Pixies,135,Ethanthova Ponies,142
,Transhimalia Disasters,115,Dotruga Falno,114
,Auspikitan Golden Falcons,125,Boltway Bad Dragons,120
,Calto Cows,147,Avura Aviators,129
,Height Sagua Cats,120,Aiyota Pumps,137
,Key to Don Yees,133,Shmupland Dictators,138
,Manwx Saguans,122,Serkr Atolls,135
,Sagua Ocelots,145,Red Rainbow Sickles,148
,Solea Geysers,127,Naxda Nomads,124
,Autolik Autonomy,111,Kaeshar Kaisers,122
,Barsein Bats,131,Blanaxon Hammers,110
Game 68,Home,Score,Away,Score
,Transhimalia Disasters,111,Boltway Bad Dragons,135
,Avura Aviators,119,Dotruga Falno,120
,Aiyota Pumps,133,Ethanthova Ponies,150
,Pyxanovia Pixies,141,Faehrenfall Feathercats,127
,Lyintaria Lynx,117,Stedro Boulders,129
,Holykol Bears,107,TND Tanks,125
,Holy Yektonisa Bishops,130,Bongatar Banging Bongos,132
,Dvimne Spirits,139,Czalliso Pythons,125
,Aahrus Moosi,131,Red Rainbow Sickles,132
,Serkr Atolls,123,Naxda Nomads,133
,Shmupland Dictators,107,Kaeshar Kaisers,125
,Auspikitan Golden Falcons,148,Blanaxon Hammers,147
,Calto Cows,127,Barsein Bats,128
,Height Sagua Cats,135,Autolik Autonomy,127
,Key to Don Yees,139,Solea Geysers,135
,Manwx Saguans,150,Sagua Ocelots,143
Game 69,Home,Score,Away,Score
,Lyintaria Lynx,140,Aahrus Moosi,138
,Holykol Bears,133,Pyxanovia Pixies,129
,Holy Yektonisa Bishops,120,Transhimalia Disasters,135
,Dvimne Spirits,133,Auspikitan Golden Falcons,125
,Czalliso Pythons,123,Calto Cows,119
,Bongatar Banging Bongos,147,Height Sagua Cats,131
,TND Tanks,114,Key to Don Yees,123
,Stedro Boulders,139,Manwx Saguans,127
,Faehrenfall Feathercats,113,Sagua Ocelots,106
,Ethanthova Ponies,125,Solea Geysers,124
,Dotruga Falno,128,Autolik Autonomy,132
,Boltway Bad Dragons,128,Barsein Bats,118
,Avura Aviators,153,Blanaxon Hammers,136
,Aiyota Pumps,122,Kaeshar Kaisers,130
,Shmupland Dictators,125,Naxda Nomads,119
,Serkr Atolls,133,Red Rainbow Sickles,111
Game 70,Home,Score,Away,Score
,Key to Don Yees,122,Aahrus Moosi,117
,Manwx Saguans,121,Height Sagua Cats,127
,Sagua Ocelots,124,Calto Cows,133
,Solea Geysers,132,Auspikitan Golden Falcons,127
,Naxda Nomads,123,Autolik Autonomy,137
,Red Rainbow Sickles,114,Kaeshar Kaisers,112
,Serkr Atolls,117,Blanaxon Hammers,142
,Shmupland Dictators,139,Barsein Bats,128
,Holy Yektonisa Bishops,126,Transhimalia Disasters,120
,Dvimne Spirits,138,Holykol Bears,132
,Czalliso Pythons,116,Lyintaria Lynx,122
,Bongatar Banging Bongos,143,Pyxanovia Pixies,132
,Dotruga Falno,118,TND Tanks,124
,Boltway Bad Dragons,141,Ethanthova Ponies,144
,Avura Aviators,129,Faehrenfall Feathercats,111
,Aiyota Pumps,122,Stedro Boulders,135
Game 71,Home,Score,Away,Score
,Manwx Saguans,138,Aahrus Moosi,141
,Key to Don Yees,140,Sagua Ocelots,138
,Height Sagua Cats,129,Solea Geysers,133
,Calto Cows,126,Autolik Autonomy,115
,Auspikitan Golden Falcons,110,Barsein Bats,121
,Transhimalia Disasters,132,Blanaxon Hammers,143
,Pyxanovia Pixies,121,Kaeshar Kaisers,127
,Lyintaria Lynx,126,Naxda Nomads,140
,Holykol Bears,120,Red Rainbow Sickles,129
,Holy Yektonisa Bishops,119,Serkr Atolls,129
,Dvimne Spirits,122,Shmupland Dictators,129
,Czalliso Pythons,126,Aiyota Pumps,119
,Bongatar Banging Bongos,134,Avura Aviators,107
,TND Tanks,120,Boltway Bad Dragons,127
,Stedro Boulders,125,Dotruga Falno,99
,Faehrenfall Feathercats,146,Ethanthova Ponies,152
Game 72,Home,Score,Away,Score
,Calto Cows,130,Aahrus Moosi,139
,Height Sagua Cats,123,Auspikitan Golden Falcons,126
,Key to Don Yees,112,Transhimalia Disasters,134
,Manwx Saguans,133,Pyxanovia Pixies,109
,Sagua Ocelots,135,Lyintaria Lynx,139
,Solea Geysers,131,Holykol Bears,122
,Autolik Autonomy,122,Holy Yektonisa Bishops,132
,Barsein Bats,129,Dvimne Spirits,160
,Blanaxon Hammers,129,Czalliso Pythons,133
,Kaeshar Kaisers,139,Bongatar Banging Bongos,131
,Naxda Nomads,127,TND Tanks,145
,Red Rainbow Sickles,129,Stedro Boulders,144
,Serkr Atolls,125,Faehrenfall Feathercats,137
,Shmupland Dictators,137,Ethanthova Ponies,123
,Aiyota Pumps,134,Dotruga Falno,125
,Avura Aviators,121,Boltway Bad Dragons,128
Game 73,Home,Score,Away,Score
,Faehrenfall Feathercats,108,Aahrus Moosi,119
,Ethanthova Ponies,120,Stedro Boulders,114
,Dotruga Falno,123,TND Tanks,108
,Boltway Bad Dragons,139,Bongatar Banging Bongos,120
,Avura Aviators,115,Czalliso Pythons,125
,Aiyota Pumps,118,Dvimne Spirits,125
,Shmupland Dictators,119,Holy Yektonisa Bishops,122
,Serkr Atolls,133,Holykol Bears,132
,Red Rainbow Sickles,132,Lyintaria Lynx,129
,Naxda Nomads,123,Pyxanovia Pixies,116
,Kaeshar Kaisers,123,Transhimalia Disasters,146
,Blanaxon Hammers,127,Auspikitan Golden Falcons,120
,Barsein Bats,124,Calto Cows,139
,Autolik Autonomy,120,Height Sagua Cats,131
,Solea Geysers,123,Key to Don Yees,142
,Sagua Ocelots,131,Manwx Saguans,128
Game 74,Home,Score,Away,Score
,Aahrus Moosi,137,Serkr Atolls,126
,Red Rainbow Sickles,119,Shmupland Dictators,121
,Naxda Nomads,127,Aiyota Pumps,131
,Kaeshar Kaisers,148,Avura Aviators,135
,Blanaxon Hammers,138,Boltway Bad Dragons,144
,Barsein Bats,121,Dotruga Falno,135
,Autolik Autonomy,117,Ethanthova Ponies,141
,Solea Geysers,124,Faehrenfall Feathercats,121
,Sagua Ocelots,127,Stedro Boulders,130
,Manwx Saguans,126,TND Tanks,111
,Key to Don Yees,149,Bongatar Banging Bongos,145
,Height Sagua Cats,117,Czalliso Pythons,125
,Calto Cows,134,Dvimne Spirits,122
,Auspikitan Golden Falcons,158,Holy Yektonisa Bishops,134
,Transhimalia Disasters,118,Holykol Bears,121
,Pyxanovia Pixies,136,Lyintaria Lynx,134
Game 75,Home,Score,Away,Score
,Serkr Atolls,144,Aahrus Moosi,132
,Shmupland Dictators,115,Red Rainbow Sickles,128
,Aiyota Pumps,130,Naxda Nomads,123
,Avura Aviators,127,Kaeshar Kaisers,144
,Boltway Bad Dragons,127,Blanaxon Hammers,121
,Dotruga Falno,117,Barsein Bats,114
,Ethanthova Ponies,128,Autolik Autonomy,119
,Faehrenfall Feathercats,122,Solea Geysers,116
,Stedro Boulders,113,Sagua Ocelots,121
,TND Tanks,123,Manwx Saguans,133
,Bongatar Banging Bongos,121,Key to Don Yees,145
,Czalliso Pythons,113,Height Sagua Cats,120
,Dvimne Spirits,143,Calto Cows,133
,Holy Yektonisa Bishops,145,Auspikitan Golden Falcons,142
,Holykol Bears,130,Transhimalia Disasters,156
,Lyintaria Lynx,134,Pyxanovia Pixies,129
Game 76,Home,Score,Away,Score
,Holy Yektonisa Bishops,125,Transhimalia Disasters,115
,Dvimne Spirits,150,Holykol Bears,143
,Czalliso Pythons,119,Lyintaria Lynx,126
,Bongatar Banging Bongos,129,Pyxanovia Pixies,120
,TND Tanks,121,Aiyota Pumps,113
,Stedro Boulders,135,Avura Aviators,118
,Faehrenfall Feathercats,123,Boltway Bad Dragons,135
,Ethanthova Ponies,121,Dotruga Falno,103
,Key to Don Yees,118,Aahrus Moosi,114
,Manwx Saguans,115,Height Sagua Cats,110
,Sagua Ocelots,128,Calto Cows,145
,Solea Geysers,121,Auspikitan Golden Falcons,129
,Autolik Autonomy,122,Shmupland Dictators,113
,Barsein Bats,117,Serkr Atolls,125
,Blanaxon Hammers,146,Red Rainbow Sickles,127
,Kaeshar Kaisers,123,Naxda Nomads,115
Game 77,Home,Score,Away,Score
,Czalliso Pythons,104,Transhimalia Disasters,120
,Bongatar Banging Bongos,122,Dvimne Spirits,138
,TND Tanks,128,Holy Yektonisa Bishops,130
,Stedro Boulders,135,Holykol Bears,116
,Faehrenfall Feathercats,119,Lyintaria Lynx,104
,Ethanthova Ponies,124,Pyxanovia Pixies,138
,Dotruga Falno,125,Aiyota Pumps,127
,Boltway Bad Dragons,137,Avura Aviators,129
,Sagua Ocelots,120,Aahrus Moosi,126
,Solea Geysers,118,Manwx Saguans,129
,Autolik Autonomy,112,Key to Don Yees,119
,Barsein Bats,139,Height Sagua Cats,133
,Blanaxon Hammers,108,Calto Cows,105
,Kaeshar Kaisers,121,Auspikitan Golden Falcons,126
,Naxda Nomads,130,Shmupland Dictators,126
,Red Rainbow Sickles,130,Serkr Atolls,140
Game 78,Home,Score,Away,Score
,Transhimalia Disasters,127,Aiyota Pumps,130
,Pyxanovia Pixies,132,Avura Aviators,123
,Lyintaria Lynx,138,Boltway Bad Dragons,136
,Holykol Bears,126,Dotruga Falno,131
,Holy Yektonisa Bishops,114,Ethanthova Ponies,123
,Dvimne Spirits,135,Faehrenfall Feathercats,109
,Czalliso Pythons,114,Stedro Boulders,126
,Bongatar Banging Bongos,133,TND Tanks,128
,Aahrus Moosi,133,Shmupland Dictators,123
,Auspikitan Golden Falcons,132,Serkr Atolls,139
,Calto Cows,133,Red Rainbow Sickles,124
,Height Sagua Cats,108,Naxda Nomads,125
,Key to Don Yees,136,Kaeshar Kaisers,125
,Manwx Saguans,157,Blanaxon Hammers,133
,Sagua Ocelots,127,Barsein Bats,124
,Solea Geysers,120,Autolik Autonomy,113
Game 79,Home,Score,Away,Score
,Transhimalia Disasters,146,Aahrus Moosi,121
,Pyxanovia Pixies,104,Auspikitan Golden Falcons,114
,Lyintaria Lynx,125,Calto Cows,115
,Holykol Bears,131,Height Sagua Cats,137
,Holy Yektonisa Bishops,129,Key to Don Yees,134
,Dvimne Spirits,135,Manwx Saguans,118
,Czalliso Pythons,110,Sagua Ocelots,107
,Bongatar Banging Bongos,135,Solea Geysers,128
,TND Tanks,118,Autolik Autonomy,108
,Stedro Boulders,134,Barsein Bats,119
,Faehrenfall Feathercats,118,Blanaxon Hammers,125
,Ethanthova Ponies,143,Kaeshar Kaisers,127
,Dotruga Falno,127,Naxda Nomads,111
,Boltway Bad Dragons,132,Red Rainbow Sickles,118
,Avura Aviators,123,Serkr Atolls,136
,Aiyota Pumps,113,Shmupland Dictators,123
Game 80,Home,Score,Away,Score
,Key to Don Yees,133,Aahrus Moosi,129
,Manwx Saguans,93,Height Sagua Cats,89
,Sagua Ocelots,122,Calto Cows,145
,Solea Geysers,131,Auspikitan Golden Falcons,144
,Autolik Autonomy,130,Transhimalia Disasters,142
,Barsein Bats,126,Pyxanovia Pixies,142
,Blanaxon Hammers,145,Lyintaria Lynx,136
,Kaeshar Kaisers,126,Holykol Bears,162
,Naxda Nomads,117,Holy Yektonisa Bishops,122
,Red Rainbow Sickles,140,Dvimne Spirits,136
,Serkr Atolls,134,Czalliso Pythons,122
,Shmupland Dictators,103,Bongatar Banging Bongos,133
,Aiyota Pumps,128,TND Tanks,111
,Avura Aviators,138,Stedro Boulders,140
,Boltway Bad Dragons,118,Faehrenfall Feathercats,143
,Dotruga Falno,113,Ethanthova Ponies,143
Game 81,Home,Score,Away,Score
,Aahrus Moosi,133,Calto Cows,128
,Auspikitan Golden Falcons,121,Height Sagua Cats,130
,Transhimalia Disasters,145,Key to Don Yees,131
,Pyxanovia Pixies,133,Manwx Saguans,142
,Lyintaria Lynx,135,Sagua Ocelots,116
,Holykol Bears,139,Solea Geysers,140
,Holy Yektonisa Bishops,141,Autolik Autonomy,135
,Dvimne Spirits,134,Barsein Bats,120
,Czalliso Pythons,144,Blanaxon Hammers,146
,Bongatar Banging Bongos,121,Kaeshar Kaisers,139
,TND Tanks,138,Naxda Nomads,134
,Stedro Boulders,114,Red Rainbow Sickles,113
,Faehrenfall Feathercats,120,Serkr Atolls,108
,Ethanthova Ponies,103,Shmupland Dictators,120
,Dotruga Falno,127,Aiyota Pumps,140
,Boltway Bad Dragons,127,Avura Aviators,143
Game 82,Home,Score,Away,Score
,Kaeshar Kaisers,145,Aahrus Moosi,147
,Blanaxon Hammers,123,Naxda Nomads,117
,Barsein Bats,129,Red Rainbow Sickles,116
,Autolik Autonomy,126,Serkr Atolls,130
,Solea Geysers,134,Shmupland Dictators,127
,Sagua Ocelots,136,Aiyota Pumps,143
,Manwx Saguans,134,Avura Aviators,138
,Key to Don Yees,118,Boltway Bad Dragons,104
,Height Sagua Cats,121,Dotruga Falno,124
,Calto Cows,125,Ethanthova Ponies,124
,Auspikitan Golden Falcons,104,Faehrenfall Feathercats,112
,Transhimalia Disasters,138,Stedro Boulders,125
,Pyxanovia Pixies,120,TND Tanks,126
,Lyintaria Lynx,120,Bongatar Banging Bongos,128
,Holykol Bears,121,Czalliso Pythons,129
,Holy Yektonisa Bishops,111,Dvimne Spirits,134
Game 83,Home,Score,Away,Score
,Barsein Bats,118,Aahrus Moosi,133
,Autolik Autonomy,117,Blanaxon Hammers,122
,Solea Geysers,128,Kaeshar Kaisers,130
,Sagua Ocelots,125,Naxda Nomads,129
,Manwx Saguans,124,Red Rainbow Sickles,122
,Key to Don Yees,136,Serkr Atolls,131
,Height Sagua Cats,129,Shmupland Dictators,140
,Calto Cows,146,Aiyota Pumps,133
,Auspikitan Golden Falcons,132,Avura Aviators,114
,Transhimalia Disasters,126,Boltway Bad Dragons,122
,Pyxanovia Pixies,122,Dotruga Falno,113
,Lyintaria Lynx,135,Ethanthova Ponies,148
,Holykol Bears,126,Faehrenfall Feathercats,129
,Holy Yektonisa Bishops,121,Stedro Boulders,132
,Dvimne Spirits,131,TND Tanks,130
,Czalliso Pythons,120,Bongatar Banging Bongos,134
Game 84,Home,Score,Away,Score
,Bongatar Banging Bongos,133,Aahrus Moosi,108
,Czalliso Pythons,127,TND Tanks,112
,Dvimne Spirits,130,Stedro Boulders,128
,Holy Yektonisa Bishops,118,Faehrenfall Feathercats,113
,Holykol Bears,123,Ethanthova Ponies,129
,Lyintaria Lynx,108,Dotruga Falno,120
,Pyxanovia Pixies,148,Boltway Bad Dragons,134
,Transhimalia Disasters,119,Avura Aviators,125
,Auspikitan Golden Falcons,141,Aiyota Pumps,137
,Calto Cows,120,Shmupland Dictators,132
,Height Sagua Cats,125,Serkr Atolls,133
,Key to Don Yees,139,Red Rainbow Sickles,131
,Manwx Saguans,133,Naxda Nomads,129
,Sagua Ocelots,148,Kaeshar Kaisers,149
,Solea Geysers,106,Blanaxon Hammers,131
,Autolik Autonomy,130,Barsein Bats,137
Game 85,Home,Score,Away,Score
,Holykol Bears,127,Aahrus Moosi,108
,Lyintaria Lynx,119,Holy Yektonisa Bishops,120
,Pyxanovia Pixies,112,Dvimne Spirits,116
,Transhimalia Disasters,135,Czalliso Pythons,140
,Auspikitan Golden Falcons,133,Bongatar Banging Bongos,125
,Calto Cows,116,TND Tanks,137
,Height Sagua Cats,138,Stedro Boulders,143
,Key to Don Yees,118,Faehrenfall Feathercats,119
,Manwx Saguans,130,Ethanthova Ponies,133
,Sagua Ocelots,114,Dotruga Falno,129
,Solea Geysers,127,Boltway Bad Dragons,114
,Autolik Autonomy,119,Avura Aviators,106
,Barsein Bats,130,Aiyota Pumps,126
,Blanaxon Hammers,121,Shmupland Dictators,134
,Kaeshar Kaisers,131,Serkr Atolls,122
,Naxda Nomads,134,Red Rainbow Sickles,153
Game 86,Home,Score,Away,Score
,TND Tanks,144,Transhimalia Disasters,143
,Stedro Boulders,132,Bongatar Banging Bongos,124
,Faehrenfall Feathercats,124,Czalliso Pythons,101
,Ethanthova Ponies,117,Dvimne Spirits,116
,Dotruga Falno,124,Holy Yektonisa Bishops,138
,Boltway Bad Dragons,120,Holykol Bears,130
,Avura Aviators,128,Lyintaria Lynx,110
,Aiyota Pumps,136,Pyxanovia Pixies,123
,Autolik Autonomy,124,Aahrus Moosi,130
,Barsein Bats,141,Solea Geysers,128
,Blanaxon Hammers,128,Sagua Ocelots,127
,Kaeshar Kaisers,115,Manwx Saguans,145
,Naxda Nomads,139,Key to Don Yees,127
,Red Rainbow Sickles,137,Height Sagua Cats,146
,Serkr Atolls,127,Calto Cows,137
,Shmupland Dictators,124,Auspikitan Golden Falcons,114
Game 87,Home,Score,Away,Score
,Aahrus Moosi,138,Dotruga Falno,134
,Ethanthova Ponies,112,Boltway Bad Dragons,121
,Faehrenfall Feathercats,132,Avura Aviators,125
,Stedro Boulders,158,Aiyota Pumps,156
,TND Tanks,113,Shmupland Dictators,108
,Bongatar Banging Bongos,119,Serkr Atolls,117
,Czalliso Pythons,103,Red Rainbow Sickles,112
,Dvimne Spirits,136,Naxda Nomads,116
,Holy Yektonisa Bishops,131,Kaeshar Kaisers,135
,Holykol Bears,115,Blanaxon Hammers,135
,Lyintaria Lynx,100,Barsein Bats,133
,Pyxanovia Pixies,141,Autolik Autonomy,121
,Transhimalia Disasters,129,Solea Geysers,120
,Auspikitan Golden Falcons,135,Sagua Ocelots,139
,Calto Cows,122,Manwx Saguans,115
,Height Sagua Cats,119,Key to Don Yees,127
Game 88,Home,Score,Away,Score
,Dvimne Spirits,131,Aahrus Moosi,122
,Holy Yektonisa Bishops,137,Czalliso Pythons,124
,Holykol Bears,138,Bongatar Banging Bongos,121
,Lyintaria Lynx,123,TND Tanks,148
,Pyxanovia Pixies,120,Stedro Boulders,125
,Transhimalia Disasters,123,Faehrenfall Feathercats,121
,Auspikitan Golden Falcons,133,Ethanthova Ponies,134
,Calto Cows,120,Dotruga Falno,132
,Height Sagua Cats,133,Boltway Bad Dragons,136
,Key to Don Yees,118,Avura Aviators,125
,Manwx Saguans,121,Aiyota Pumps,118
,Sagua Ocelots,116,Shmupland Dictators,106
,Solea Geysers,108,Serkr Atolls,135
,Autolik Autonomy,136,Red Rainbow Sickles,133
,Barsein Bats,123,Naxda Nomads,117
,Blanaxon Hammers,134,Kaeshar Kaisers,132
Game 89,Home,Score,Away,Score
,Aahrus Moosi,132,Manwx Saguans,133
,Sagua Ocelots,133,Key to Don Yees,131
,Solea Geysers,109,Height Sagua Cats,129
,Auspikitan Golden Falcons,131,Calto Cows,129
,Autolik Autonomy,124,Red Rainbow Sickles,137
,Serkr Atolls,137,Naxda Nomads,128
,Shmupland Dictators,121,Kaeshar Kaisers,125
,Barsein Bats,141,Blanaxon Hammers,144
,Transhimalia Disasters,97,Dvimne Spirits,124
,Czalliso Pythons,108,Holy Yektonisa Bishops,133
,Bongatar Banging Bongos,118,Holykol Bears,115
,Pyxanovia Pixies,133,Lyintaria Lynx,119
,TND Tanks,128,Boltway Bad Dragons,104
,Avura Aviators,126,Dotruga Falno,135
,Aiyota Pumps,126,Ethanthova Ponies,136
,Stedro Boulders,143,Faehrenfall Feathercats,137
Game 90,Home,Score,Away,Score
,Aahrus Moosi,144,Boltway Bad Dragons,137
,Avura Aviators,138,Dotruga Falno,128
,Aiyota Pumps,124,Ethanthova Ponies,141
,Shmupland Dictators,136,Faehrenfall Feathercats,127
,Serkr Atolls,127,Stedro Boulders,123
,Red Rainbow Sickles,133,TND Tanks,137
,Naxda Nomads,131,Bongatar Banging Bongos,142
,Kaeshar Kaisers,111,Czalliso Pythons,110
,Blanaxon Hammers,139,Dvimne Spirits,145
,Barsein Bats,129,Holy Yektonisa Bishops,128
,Autolik Autonomy,124,Holykol Bears,127
,Solea Geysers,122,Lyintaria Lynx,115
,Sagua Ocelots,125,Pyxanovia Pixies,118
,Manwx Saguans,132,Transhimalia Disasters,122
,Key to Don Yees,118,Auspikitan Golden Falcons,139
,Height Sagua Cats,139,Calto Cows,136
Game 91,Home,Score,Away,Score
,Aahrus Moosi,133,Dvimne Spirits,136
,Czalliso Pythons,132,Holy Yektonisa Bishops,137
,Bongatar Banging Bongos,119,Holykol Bears,128
,TND Tanks,118,Lyintaria Lynx,119
,Stedro Boulders,145,Pyxanovia Pixies,141
,Faehrenfall Feathercats,138,Transhimalia Disasters,133
,Ethanthova Ponies,141,Auspikitan Golden Falcons,139
,Dotruga Falno,123,Calto Cows,134
,Boltway Bad Dragons,133,Height Sagua Cats,131
,Avura Aviators,123,Key to Don Yees,136
,Aiyota Pumps,141,Manwx Saguans,137
,Shmupland Dictators,103,Sagua Ocelots,122
,Serkr Atolls,144,Solea Geysers,136
,Red Rainbow Sickles,136,Autolik Autonomy,139
,Naxda Nomads,126,Barsein Bats,129
,Kaeshar Kaisers,133,Blanaxon Hammers,141
Game 1,Home,Score,Away,Score
,Serkr Atolls,122,Key to Don Yees,123
,Manwx Saguans,140,Calto Cows,133
,Auspikitan Golden Falcons,126,Sagua Ocelots,140
,Blanaxon Hammers,137,Barsein Bats,128
,Dvimne Spirits,124,Faehrenfall Feathercats,130
,Ethanthova Ponies,114,Pyxanovia Pixies,126
,Bongatar Banging Bongos,108,Boltway Bad Dragons,109
,Aiyota Pumps,120,Stedro Boulders,110
,Solea Geysers,132,Autolik Autonomy,139
,Aahrus Moosi,122,Height Sagua Cats,126
,Shmupland Dictators,114,Naxda Nomads,125
,Kaeshar Kaisers,121,Red Rainbow Sickles,126
,Transhimalia Disasters,141,Czalliso Pythons,134
,Holykol Bears,126,Avura Aviators,127
,Holy Yektonisa Bishops,120,Dotruga Falno,118
,TND Tanks,138,Lyintaria Lynx,121
Game 2,Home,Score,Away,Score
,Serkr Atolls,139,Key to Don Yees,144
,Manwx Saguans,118,Calto Cows,121
,Auspikitan Golden Falcons,125,Sagua Ocelots,143
,Blanaxon Hammers,116,Barsein Bats,112
,Dvimne Spirits,134,Faehrenfall Feathercats,113
,Ethanthova Ponies,116,Pyxanovia Pixies,117
,Bongatar Banging Bongos,120,Boltway Bad Dragons,114
,Aiyota Pumps,137,Stedro Boulders,131
,Solea Geysers,120,Autolik Autonomy,114
,Aahrus Moosi,125,Height Sagua Cats,119
,Shmupland Dictators,128,Naxda Nomads,131
,Kaeshar Kaisers,136,Red Rainbow Sickles,122
,Transhimalia Disasters,128,Czalliso Pythons,105
,Holykol Bears,134,Avura Aviators,136
,Holy Yektonisa Bishops,127,Dotruga Falno,131
,TND Tanks,140,Lyintaria Lynx,113
Game 3,Home,Score,Away,Score
,Key to Don Yees,118,Serkr Atolls,114
,Calto Cows,121,Manwx Saguans,130
,Sagua Ocelots,124,Auspikitan Golden Falcons,131
,Barsein Bats,131,Blanaxon Hammers,137
,Faehrenfall Feathercats,124,Dvimne Spirits,126
,Pyxanovia Pixies,142,Ethanthova Ponies,145
,Boltway Bad Dragons,136,Bongatar Banging Bongos,111
,Stedro Boulders,137,Aiyota Pumps,142
,Autolik Autonomy,123,Solea Geysers,118
,Height Sagua Cats,134,Aahrus Moosi,122
,Naxda Nomads,110,Shmupland Dictators,111
,Red Rainbow Sickles,115,Kaeshar Kaisers,110
,Czalliso Pythons,118,Transhimalia Disasters,131
,Avura Aviators,127,Holykol Bears,122
,Dotruga Falno,127,Holy Yektonisa Bishops,132
,Lyintaria Lynx,122,TND Tanks,114
Game 4,Home,Score,Away,Score
,Key to Don Yees,138,Serkr Atolls,128
,Calto Cows,122,Manwx Saguans,118
,Sagua Ocelots,140,Auspikitan Golden Falcons,126
,Barsein Bats,130,Blanaxon Hammers,127
,Faehrenfall Feathercats,132,Dvimne Spirits,144
,Pyxanovia Pixies,121,Ethanthova Ponies,135
,Boltway Bad Dragons,129,Bongatar Banging Bongos,125
,Stedro Boulders,143,Aiyota Pumps,151
,Autolik Autonomy,137,Solea Geysers,134
,Height Sagua Cats,123,Aahrus Moosi,136
,Naxda Nomads,129,Shmupland Dictators,128
,Red Rainbow Sickles,140,Kaeshar Kaisers,147
,Czalliso Pythons,120,Transhimalia Disasters,132
,Avura Aviators,108,Holykol Bears,129
,Dotruga Falno,124,Holy Yektonisa Bishops,144
,Lyintaria Lynx,116,TND Tanks,121
Game 5,Home,Score,Away,Score
,Manwx Saguans,141,Calto Cows,137
,Auspikitan Golden Falcons,121,Sagua Ocelots,130
,Blanaxon Hammers,135,Barsein Bats,130
,Dvimne Spirits,135,Faehrenfall Feathercats,124
,Ethanthova Ponies,111,Pyxanovia Pixies,118
,Bongatar Banging Bongos,138,Boltway Bad Dragons,129
,Solea Geysers,120,Autolik Autonomy,126
,Aahrus Moosi,116,Height Sagua Cats,136
,Shmupland Dictators,149,Naxda Nomads,142
,Kaeshar Kaisers,133,Red Rainbow Sickles,135
,Holykol Bears,146,Avura Aviators,149
,Holy Yektonisa Bishops,129,Dotruga Falno,133
,TND Tanks,116,Lyintaria Lynx,143
Game 6,Home,Score,Away,Score
,Calto Cows,139,Manwx Saguans,125
,Pyxanovia Pixies,127,Ethanthova Ponies,125
,Boltway Bad Dragons,107,Bongatar Banging Bongos,135
,Height Sagua Cats,136,Aahrus Moosi,134
,Naxda Nomads,138,Shmupland Dictators,124
,Red Rainbow Sickles,130,Kaeshar Kaisers,110
,Dotruga Falno,103,Holy Yektonisa Bishops,133
,Lyintaria Lynx,113,TND Tanks,132
Game 7,Home,Score,Away,Score
,Manwx Saguans,142,Calto Cows,129
,Bongatar Banging Bongos,116,Boltway Bad Dragons,124
Game 1,Home,Score,Away,Score
,Blanaxon Hammers,133,Key to Don Yees,120
,Manwx Saguans,111,Sagua Ocelots,120
,Serkr Atolls,123,Barsein Bats,121
,Auspikitan Golden Falcons,143,Calto Cows,131
,Dvimne Spirits,132,Aiyota Pumps,130
,Boltway Bad Dragons,135,Pyxanovia Pixies,128
,Stedro Boulders,124,Faehrenfall Feathercats,134
,Ethanthova Ponies,136,Bongatar Banging Bongos,142
,Red Rainbow Sickles,120,Autolik Autonomy,130
,Naxda Nomads,136,Height Sagua Cats,123
,Solea Geysers,106,Kaeshar Kaisers,141
,Aahrus Moosi,123,Shmupland Dictators,145
,Transhimalia Disasters,126,TND Tanks,133
,Holy Yektonisa Bishops,123,Avura Aviators,137
,Lyintaria Lynx,132,Czalliso Pythons,125
,Holykol Bears,139,Dotruga Falno,116
Game 2,Home,Score,Away,Score
,Blanaxon Hammers,129,Key to Don Yees,123
,Manwx Saguans,137,Sagua Ocelots,135
,Serkr Atolls,135,Barsein Bats,132
,Auspikitan Golden Falcons,126,Calto Cows,139
,Dvimne Spirits,125,Aiyota Pumps,121
